heib6@LAPTOP-N5JRCB72 MINGW64 /d/course/739/Final Project (main)
$ ./GradientDescent iris minibatch 20 softmax 100 0.1 0.01 0.9 adam 0.96 0.0000001 0.9 0.999 10 10
[INFO   ] data set means:
5.84333 3.054 3.75867 1.19867
[INFO   ] data set standard deviations:
0.828066 0.433594 1.76442 0.763161
[INFO   ] Using an SOFTMAX loss function.
[INFO   ] Creating a neural network with 2 hidden layers.
[INFO   ] Input layer 0 has 4 nodes.
[INFO   ] Hidden layer 1 has 10 nodes.
[INFO   ] Hidden layer 2 has 10 nodes.
[INFO   ] Output layer 3 has 3 nodes.
[INFO   ] Starting minibatch gradient descent!
[INFO   ] minibatch(20), iris, softmax, lr: 0.010000, mu:0.900000
[INFO   ]   1.089543 1.089543 31.333333
[INFO   ]   0.771974 0.771974 72.000000
[INFO   ]   0.759049 0.759049 78.666667
[INFO   ]   0.756218 0.756218 77.333333
[INFO   ]   0.756218 0.756731 76.666667
[INFO   ]   0.736506 0.736506 80.000000
[INFO   ]   0.715750 0.715750 77.333333
[INFO   ]   0.710626 0.710626 86.000000
[INFO   ]   0.705284 0.705284 89.333333
[INFO   ]   0.690526 0.690526 88.000000
[INFO   ]   0.679119 0.679119 89.333333
[INFO   ]   0.671670 0.671670 94.000000
[INFO   ]   0.666951 0.666951 96.000000
[INFO   ]   0.644507 0.644507 96.666667
[INFO   ]   0.595737 0.595737 96.666667
[INFO   ]   0.591782 0.591782 97.333333
[INFO   ]   0.583080 0.583080 97.333333
[INFO   ]   0.579625 0.579625 97.333333
[INFO   ]   0.578301 0.578301 97.333333
[INFO   ]   0.575120 0.575120 96.666667
[INFO   ]   0.573865 0.573865 98.666667
[INFO   ]   0.573043 0.573043 98.666667
[INFO   ]   0.573043 0.575335 97.333333
[INFO   ]   0.573043 0.574763 98.666667
[INFO   ]   0.570706 0.570706 98.666667
[INFO   ]   0.570089 0.570089 98.000000
[INFO   ]   0.569581 0.569581 98.666667
[INFO   ]   0.569005 0.569005 98.000000
[INFO   ]   0.567836 0.567836 98.666667
[INFO   ]   0.567340 0.567340 98.666667
[INFO   ]   0.567340 0.567400 98.666667
[INFO   ]   0.567340 0.567590 98.666667
[INFO   ]   0.567340 0.568058 98.000000
[INFO   ]   0.566318 0.566318 98.666667
[INFO   ]   0.566318 0.566930 98.666667
[INFO   ]   0.566194 0.566194 99.333333
[INFO   ]   0.565068 0.565068 98.666667
[INFO   ]   0.565068 0.565320 98.666667
[INFO   ]   0.565068 0.565098 99.333333
[INFO   ]   0.564524 0.564524 99.333333
[INFO   ]   0.564524 0.565685 98.666667
[INFO   ]   0.564524 0.564803 99.333333
[INFO   ]   0.563581 0.563581 99.333333
[INFO   ]   0.563371 0.563371 98.666667
[INFO   ]   0.563119 0.563119 99.333333
[INFO   ]   0.562586 0.562586 99.333333
[INFO   ]   0.562282 0.562282 99.333333
[INFO   ]   0.562282 0.563671 98.666667
[INFO   ]   0.562282 0.563016 99.333333
[INFO   ]   0.562178 0.562178 99.333333
[INFO   ]   0.561602 0.561602 99.333333
[INFO   ]   0.561602 0.562341 98.666667
[INFO   ]   0.561602 0.562638 98.666667
[INFO   ]   0.561602 0.565428 98.666667
[INFO   ]   0.561602 0.562471 98.666667
[INFO   ]   0.561224 0.561224 99.333333
[INFO   ]   0.561224 0.561363 99.333333
[INFO   ]   0.561028 0.561028 99.333333
[INFO   ]   0.560665 0.560665 99.333333
[INFO   ]   0.560437 0.560437 99.333333
[INFO   ]   0.560275 0.560275 99.333333
[INFO   ]   0.560070 0.560070 99.333333
[INFO   ]   0.560019 0.560019 99.333333
[INFO   ]   0.559882 0.559882 99.333333
[INFO   ]   0.559810 0.559810 99.333333
[INFO   ]   0.559679 0.559679 99.333333
[INFO   ]   0.559678 0.559678 99.333333
[INFO   ]   0.559621 0.559621 99.333333
[INFO   ]   0.559621 0.559672 99.333333
[INFO   ]   0.559475 0.559475 99.333333
[INFO   ]   0.559407 0.559407 99.333333
[INFO   ]   0.559407 0.559518 99.333333
[INFO   ]   0.559404 0.559404 99.333333
[INFO   ]   0.559404 0.559512 99.333333
[INFO   ]   0.559404 0.559518 99.333333
[INFO   ]   0.559234 0.559234 99.333333
[INFO   ]   0.559234 0.559275 99.333333
[INFO   ]   0.559234 0.559574 99.333333
[INFO   ]   0.559233 0.559233 99.333333
[INFO   ]   0.559145 0.559145 99.333333
[INFO   ]   0.559102 0.559102 99.333333
[INFO   ]   0.559060 0.559060 99.333333
[INFO   ]   0.559036 0.559036 99.333333
[INFO   ]   0.559021 0.559021 99.333333
[INFO   ]   0.559000 0.559000 99.333333
[INFO   ]   0.558980 0.558980 99.333333
[INFO   ]   0.558965 0.558965 99.333333
[INFO   ]   0.558949 0.558949 99.333333
[INFO   ]   0.558947 0.558947 99.333333
[INFO   ]   0.558944 0.558944 99.333333
[INFO   ]   0.558908 0.558908 99.333333
[INFO   ]   0.558894 0.558894 99.333333
[INFO   ]   0.558874 0.558874 99.333333
[INFO   ]   0.558865 0.558865 99.333333
[INFO   ]   0.558848 0.558848 99.333333
[INFO   ]   0.558848 0.558853 99.333333
[INFO   ]   0.558834 0.558834 99.333333
[INFO   ]   0.558817 0.558817 99.333333
[INFO   ]   0.558800 0.558800 99.333333
[INFO   ]   0.558789 0.558789 99.333333
[INFO   ]   0.558782 0.558782 99.333333
